"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcsk52",1.54797915684449e-05,0.0484066400856078,0.489,0.4,0.362056844994357,"6","Pcsk5"
"Pla1a",1.5943258123425e-05,0.0137280840827565,0.02,0.007,0.372896864248786,"6","Pla1a"
"Gm453321",1.60219646148046e-05,0.00844807360253097,0.01,0.003,0.374737730375666,"6","Gm45332"
"1700016F12Rik",1.60414426087708e-05,0.0153162843640997,0.021,0.008,0.37519330117654,"6","1700016F12Rik"
"Lekr12",1.6164546865408e-05,0.0316846401137499,0.076,0.046,0.378072586635028,"6","Lekr1"
"Gm15940",1.64197616134015e-05,0.00451220861439356,0.005,0.001,0.384041804375847,"6","Gm15940"
"4930588J15Rik",1.64197616134015e-05,0.00451220861439356,0.005,0.001,0.384041804375847,"6","4930588J15Rik"
"Arl6ip12",1.64334887350051e-05,0.0564342109265914,0.927,0.9,0.384362868023034,"6","Arl6ip1"
"Rev3l",1.66600474660462e-05,0.0511539854537633,0.906,0.887,0.389661850183354,"6","Rev3l"
"Gm14064",1.67650257043091e-05,0.0116557629899732,0.02,0.007,0.392117186198085,"6","Gm14064"
"2410021H03Rik1",1.68460997907097e-05,0.0165129614525244,0.028,0.012,0.39401342800491,"6","2410021H03Rik"
"Nf13",1.7061771225893e-05,0.0672306245821246,0.945,0.893,0.399057767202412,"6","Nf1"
"Psme43",1.70874715937652e-05,0.0406008866226018,0.976,0.966,0.399658873106575,"6","Psme4"
"Chml",1.74729899143793e-05,0.0533345665964052,0.282,0.221,0.408675761107417,"6","Chml"
"Gm28323",1.76582814482956e-05,0.0149746482660565,0.024,0.009,0.413009544794186,"6","Gm28323"
"Rheb1",1.83192023779251e-05,0.0658292065733604,0.649,0.604,0.428467824417289,"6","Rheb"
"Prkci1",1.85513560926839e-05,0.0633147991190232,0.584,0.517,0.433897667651783,"6","Prkci"
"Sec22b2",1.85912630445554e-05,0.0647614894074516,0.525,0.46,0.434831051349107,"6","Sec22b"
"Lhx21",1.91090784887617e-05,0.0216125913754505,0.043,0.022,0.446942236773647,"6","Lhx2"
"Gm26831",1.97667013348409e-05,0.0120514329864623,0.019,0.007,0.462323377520595,"6","Gm26831"
"Mpzl11",2.04922342891901e-05,0.0686939657992903,0.668,0.605,0.479292867789866,"6","Mpzl1"
"Marveld12",2.04942238619659e-05,0.0348253154532736,0.099,0.064,0.47933940190752,"6","Marveld1"
"Wnt2b2",2.09927053698594e-05,0.0248280748604529,0.053,0.029,0.490998385895641,"6","Wnt2b"
"Pla2g4c",2.10068158619543e-05,0.041672816471261,0.141,0.098,0.491328416195248,"6","Pla2g4c"
"9330117O12Rik",2.19720050658214e-05,0.00657843766308286,0.008,0.002,0.513903226484498,"6","9330117O12Rik"
"Slco1c1",2.20507310534412e-05,0.0180910066613007,0.032,0.015,0.515744548608937,"6","Slco1c1"
"Snx251",2.20812579991809e-05,0.0566011791722722,0.243,0.189,0.516458543342841,"6","Snx25"
"Ebpl1",2.2835614015824e-05,0.0637197210881638,0.322,0.263,0.534102176216108,"6","Ebpl"
"Hcn12",2.30768464951858e-05,0.0887096637692459,0.132,0.093,0.539744362675901,"6","Hcn1"
"Ugdh1",2.32730943084099e-05,0.0615071926925845,0.381,0.315,0.544334402779398,"6","Ugdh"
"Ak52",2.38121876243754e-05,0.0311891265876046,0.075,0.045,0.556943256346517,"6","Ak5"
"Prkcd1",2.39119930289269e-05,0.0532568735617905,0.242,0.188,0.55927760495357,"6","Prkcd"
